T32,Net disbursements of official development assistance from donors,,,,,
196,Cyprus,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),135,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),228,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),212,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),199,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),260,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),272,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
203,Czechia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.14,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
